t,Tgas,Trad
2.93,0.7246151679642026,0.7244109460500214
2.94,0.7246121000881142,0.7244129635846464
2.95,0.7246091087986682,0.7244149307371852
2.96,0.7246061921364721,0.7244168487974033
2.97,0.7246033481421331,0.7244187190549942
2.98,0.7246005748562583,0.724420542799583
2.99,0.7245978703576319,0.7244223212956229
3.,0.7245952330049563,0.72442405562343
3.0100000000000002,0.7245926612711645,0.7244257467881472
3.02,0.7245901536287549,0.7244273957951518
3.0300000000000002,0.7245877085502259,0.7244290036497706
3.04,0.7245853245080761,0.7244305713572828
3.0500000000000003,0.7245829999748039,0.7244320999229209
3.06,0.7245807334229079,0.7244335903518726
3.0700000000000003,0.7245785233248864,0.7244350436492824
3.08,0.7245763681532379,0.724436460820253
3.09,0.724574266371322,0.724437842875857
3.1,0.7245722166488164,0.7244391906914613
3.11,0.7245702178365926,0.7244405050232542
3.12,0.7245682687875692,0.7244417866260469
3.13,0.7245663683546645,0.7244430362546213
3.14,0.7245645153907972,0.724444254663731
3.15,0.7245627087488856,0.7244454426081017
3.16,0.7245609472818484,0.7244466008424328
3.17,0.7245592298426038,0.724447730121398
3.18,0.7245575552840704,0.7244488311996462
3.19,0.7245559224591667,0.7244499048318025
3.2,0.7245543302208111,0.7244509517724692
3.21,0.7245527774235411,0.7244519727751618
3.22,0.7245512630534784,0.7244529685068554
3.23,0.7245497862668107,0.724453939522684
3.24,0.7245483462220595,0.7244548863762311
3.25,0.724546942077747,0.7244558096210637
3.2600000000000002,0.7245455729923945,0.7244567098107333
3.27,0.724544238124524,0.7244575874987765
3.2800000000000002,0.7245429366326569,0.7244584432387157
3.29,0.7245416676753151,0.7244592775840588
3.3000000000000003,0.7245404304110205,0.7244600910883008
3.31,0.7245392239982945,0.7244608843049235
3.3200000000000003,0.724538047595659,0.7244616577873962
3.33,0.7245369003616356,0.7244624120891765
3.34,0.7245357814783708,0.724463147748177
3.35,0.7245346903173897,0.7244638651777847
3.36,0.724533626273067,0.7244645647763539
3.37,0.72453258872987,0.7244652469487447
3.38,0.724531577072266,0.7244659120998085
3.39,0.7245305906847221,0.7244665606343886
3.4,0.7245296289517059,0.7244671929573206
3.41,0.7245286912576845,0.7244678094734326
3.42,0.7245277769871251,0.7244684105875451
3.43,0.7245268855244951,0.7244689967044716
3.44,0.7245260162542617,0.7244695682290194
3.45,0.7245251685608923,0.7244701255659886
3.46,0.7245243418288541,0.7244706691201731
3.47,0.7245235355076257,0.724471199253618
3.48,0.7245227491830197,0.7244717162387274
3.49,0.7245219824101189,0.7244722203681047
3.5,0.7245212347432289,0.7244727119348595
3.5100000000000002,0.7245205057366556,0.7244731912320974
3.52,0.7245197949447045,0.7244736585529193
3.5300000000000002,0.7245191019216815,0.7244741141904226
3.54,0.7245184262218922,0.7244745584377003
3.5500000000000003,0.7245177673996424,0.7244749915878416
3.56,0.7245171250092378,0.7244754139339323
3.5700000000000003,0.724516498604984,0.7244758257690546
3.58,0.7245158877411869,0.7244762273862873
3.59,0.7245152919745493,0.7244766190771296
3.6,0.7245147109511157,0.7244770010743399
3.61,0.7245141443604733,0.7244773735820464
3.62,0.7245135918771977,0.7244777368142445
3.63,0.7245130531758639,0.7244780909849272
3.64,0.7245125279310473,0.7244784363080853
3.65,0.7245120158173234,0.7244787729977072
3.66,0.7245115165092673,0.7244791012677796
3.67,0.7245110296814545,0.7244794213322866
3.68,0.7245105550084603,0.7244797334052105
3.69,0.7245100921648598,0.724480037700532
3.7,0.7245096408252287,0.7244803344322296
3.71,0.7245092006641422,0.7244806238142801
3.72,0.7245087713699055,0.724480906051632
3.73,0.7245083527150751,0.7244811812938416
3.74,0.7245079444677646,0.724481449693385
3.75,0.7245075463914195,0.7244817114058061
3.7600000000000002,0.724507158249485,0.7244819665866474
3.77,0.7245067798054066,0.7244822153914505
3.7800000000000002,0.7245064108226296,0.7244824579757556
3.79,0.7245060510645993,0.7244826944951017
3.8000000000000003,0.7245057002947612,0.7244829251050272
