# Athena++ data at time=1.800000e+00  cycle=1734  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0128  7.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0129  7.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0130  7.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0131  8.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0132  8.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0133  8.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0134  8.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0135  8.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0136  8.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0137  8.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0138  8.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0139  8.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0140  8.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0141  8.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0142  8.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0143  8.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0144  8.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0145  8.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0146  8.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0147  9.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0148  9.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0149  9.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0150  9.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0151  9.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0152  9.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0153  9.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0154  9.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0155  9.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0156  9.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0157  9.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0158  9.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0159  9.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0160  9.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0161  9.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0162  9.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0163  1.00313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0164  1.00938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0165  1.01562e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0166  1.02187e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0167  1.02812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0168  1.03438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0169  1.04063e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0170  1.04688e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0171  1.05313e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0172  1.05938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0173  1.06563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0174  1.07187e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0175  1.07812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0176  1.08438e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0177  1.09063e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0178  1.09687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0179  1.10312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0180  1.10938e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0181  1.11563e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0182  1.12187e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0183  1.12812e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0184  1.13437e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0185  1.14062e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0186  1.14687e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0187  1.15312e+00  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
