# x density velocity pressure
0.184814 0.258307 0.0460364 1.04811e-11
0.185303 0.258312 0.0461574 1.04823e-11
0.185791 0.258323 0.0462782 1.04828e-11
0.186279 0.258368 0.0463987 1.04847e-11
0.186768 0.258458 0.04652 1.04896e-11
0.187256 0.258557 0.0466405 1.04961e-11
0.187744 0.258616 0.046761 1.05006e-11
0.188232 0.258637 0.0468816 1.05033e-11
0.188721 0.25864 0.0470022 1.05047e-11
0.189209 0.258643 0.0471227 1.05053e-11
0.189697 0.258683 0.0472441 1.05067e-11
0.190186 0.258793 0.0473642 1.05116e-11
0.190674 0.258894 0.0474853 1.0518e-11
0.191162 0.258953 0.0476053 1.05233e-11
0.19165 0.25897 0.0477261 1.05264e-11
0.192139 0.258972 0.0478466 1.05278e-11
0.192627 0.258975 0.0479674 1.05282e-11
0.193115 0.259026 0.0480882 1.053e-11
0.193604 0.259134 0.0482086 1.05346e-11
0.194092 0.25923 0.0483295 1.05403e-11
0.19458 0.259278 0.0484494 1.05455e-11
0.195068 0.259289 0.0485704 1.05487e-11
0.195557 0.259292 0.0486906 1.055e-11
0.196045 0.259313 0.0488115 1.05509e-11
0.196533 0.259402 0.0489319 1.05545e-11
0.197021 0.259497 0.0490525 1.0559e-11
0.19751 0.25957 0.049173 1.05645e-11
0.197998 0.259606 0.0492935 1.05688e-11
0.198486 0.259633 0.0494141 1.05719e-11
0.198975 0.259657 0.0495344 1.05737e-11
0.199463 0.259684 0.0496549 1.05749e-11
0.199951 0.259734 0.0497754 1.05771e-11
0.200439 0.259817 0.0498961 1.05816e-11
0.200928 0.259909 0.0500165 1.05879e-11
0.201416 0.25998 0.0501371 1.05933e-11
0.201904 0.260009 0.0502572 1.05966e-11
0.202393 0.260013 0.0503775 1.05982e-11
0.202881 0.260018 0.0504982 1.05987e-11
0.203369 0.260072 0.0506186 1.06007e-11
0.203857 0.26018 0.0507393 1.06056e-11
0.204346 0.260289 0.0508599 1.06125e-11
0.204834 0.26035 0.0509796 1.06179e-11
0.205322 0.260368 0.0511003 1.0621e-11
0.205811 0.260371 0.0512204 1.06224e-11
0.206299 0.260375 0.0513408 1.06229e-11
0.206787 0.260429 0.0514618 1.06248e-11
0.207275 0.260555 0.0515818 1.06303e-11
0.207764 0.26066 0.0517023 1.06371e-11
0.208252 0.260717 0.0518224 1.06429e-11
0.20874 0.260733 0.0519426 1.06464e-11
0.209229 0.260735 0.0520629 1.0648e-11
0.209717 0.260743 0.0521835 1.06485e-11
0.210205 0.260816 0.0523039 1.06512e-11
0.210693 0.260935 0.0524241 1.06564e-11
0.211182 0.261033 0.0525445 1.06625e-11
0.21167 0.261082 0.0526645 1.06679e-11
0.212158 0.261091 0.0527846 1.06716e-11
0.212646 0.261095 0.0529053 1.06728e-11
0.213135 0.26113 0.0530252 1.06742e-11
0.213623 0.261215 0.0531458 1.06777e-11
0.214111 0.261327 0.0532659 1.0683e-11
0.2146 0.261413 0.0533862 1.06893e-11
0.215088 0.261456 0.0535062 1.06943e-11
0.215576 0.261486 0.0536268 1.06979e-11
0.216064 0.261496 0.0537463 1.06994e-11
0.216553 0.261522 0.0538671 1.07006e-11
0.217041 0.261581 0.0539866 1.07032e-11
0.217529 0.261676 0.0541077 1.07084e-11
0.218018 0.261785 0.0542274 1.07153e-11
0.218506 0.261868 0.054348 1.0721e-11
0.218994 0.261912 0.0544676 1.07244e-11
0.219482 0.261922 0.0545876 1.07259e-11
0.219971 0.261923 0.0547077 1.07266e-11
0.220459 0.261936 0.0548281 1.07273e-11
0.220947 0.262022 0.0549482 1.07325e-11
0.221436 0.262163 0.0550687 1.07421e-11
0.221924 0.262289 0.0551886 1.07501e-11
0.222412 0.262348 0.0553083 1.07545e-11
0.2229 0.262362 0.0554285 1.07568e-11
0.223389 0.262362 0.0555481 1.07583e-11
0.223877 0.262363 0.0556686 1.07591e-11
0.224365 0.262391 0.0557892 1.076e-11
0.224854 0.262509 0.0559085 1.07649e-11
0.225342 0.262656 0.0560295 1.07726e-11
