# Initial mass = 0.900, Z =  0.0001, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.775, Mass expelled =   0.1250
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
 cs  55  -0.116445 -1.196445  0.982027 7.44822E-11 9.31028E-12
 ba  56   1.949198 -0.230802  1.947669 8.95178E-09 1.11897E-09
 la  57   0.900871 -0.269129  1.909343 8.10118E-10 1.01265E-10
 ce  58   1.375021 -0.204979  1.973493 2.43481E-09 3.04351E-10
 pr  59   0.321849 -0.438151  1.740320 2.16641E-10 2.70801E-11
 nd  60   1.124741 -0.325259  1.853212 1.40858E-09 1.76073E-10
 sm  62   0.340478 -0.599522  1.578949 2.41305E-10 3.01631E-11
 eu  63  -0.727693 -1.237693  0.940779 2.08451E-11 2.60563E-12
 gd  64   0.170500 -0.879500  1.298971 1.70626E-10 2.13283E-11
 tb  65  -0.784019 -1.104019  1.074452 1.91482E-11 2.39353E-12
 dy  66   0.323160 -0.806840  1.371632 2.50593E-10 3.13242E-11
 ho  67  -0.704475 -1.174475  1.003996 2.38660E-11 2.98325E-12
 er  68   0.140809 -0.779191  1.399281 1.69494E-10 2.11867E-11
 tm  69  -0.786314 -0.906314  1.272158 2.02469E-11 2.53087E-12
 yb  70   0.471076 -0.448924  1.729548 3.75127E-10 4.68909E-11
 lu  71  -0.475828 -0.565828  1.612643 4.28632E-11 5.35789E-12
 hf  72   0.416307 -0.293693  1.884779 3.41096E-10 4.26370E-11
 ta  73  -0.537109 -0.417109  1.761362 3.84947E-11 4.81183E-12
  w  74   0.425601 -0.224399  1.954073 3.58919E-10 4.48649E-11
 re  75  -0.494219 -0.754219  1.424253 4.37253E-11 5.46566E-12
 os  76   0.356492 -0.993508  1.184964 3.16758E-10 3.95947E-11
 ir  77  -0.309671 -1.629671  0.548800 6.90360E-11 8.62950E-12
 pt  78   0.398356 -1.221644  0.956828 3.57701E-10 4.47126E-11
 au  79  -0.390027 -1.190027  0.988445 5.87926E-11 7.34907E-12
 hg  80   0.900526 -0.269474  1.908998 1.16894E-09 1.46117E-10
 tl  81   0.659141 -0.110859  2.067612 6.83189E-10 8.53986E-11
 pb  82   2.512300  0.472301  2.650772 4.93908E-08 6.17385E-09
 bi  83   0.754618  0.104618  2.283089 8.70318E-10 1.08790E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.4372   1.3078   1.9435   0.6357   0.7073
# Initial mass = 1.000, Z =  0.0001, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.720, Mass expelled =   0.2800
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 7.54897E-01 2.11371E-01
 he   2  10.921268 -0.008733  2.178133 2.50081E-01 7.00226E-02
  c   6   8.029557 -0.440443  1.746422 9.62861E-04 2.69601E-04
  n   7   6.303075 -1.566925  0.619941 2.10789E-05 5.90208E-06
  o   8   6.858453 -1.871546  0.315319 8.64914E-05 2.42176E-05
  f   9   3.217391 -1.202609  0.984256 2.34707E-08 6.57179E-09
 ne  10   5.969749 -2.000250  0.186615 1.40960E-05 3.94689E-06
 na  11   4.277203 -1.962797  0.224069 3.25964E-07 9.12698E-08
 mg  12   5.461232 -2.178768  0.008098 5.26447E-06 1.47405E-06
 al  13   4.281473 -2.168527  0.018338 3.86344E-07 1.08176E-07
 si  14   5.367651 -2.182349  0.004516 4.90419E-06 1.37317E-06
  p  15   3.344716 -2.065284  0.121582 5.13027E-08 1.43648E-08
  s  16   4.974727 -2.175273  0.011592 2.26561E-06 6.34371E-07
 cl  17   3.046803 -2.183197  0.003668 2.95721E-08 8.28018E-09
 ar  18   4.253468 -2.186532  0.000333 5.36278E-07 1.50158E-07
  k  19   2.894872 -2.185128  0.001737 2.29855E-08 6.43593E-09
 ca  20   4.103212 -2.186788  0.000077 3.80667E-07 1.06587E-07
 sc  21   0.891414 -2.158586  0.028279 2.62197E-10 7.34152E-11
 ti  22   2.731401 -2.178598  0.008267 1.93136E-08 5.40782E-09
  v  23   1.774958 -2.185042  0.001823 2.27227E-09 6.36236E-10
 cr  24   3.434735 -2.205265 -0.018399 1.05958E-07 2.96681E-08
 mn  25   3.292941 -2.187059 -0.000194 8.07682E-08 2.26151E-08
 fe  26   5.353135 -2.186865  0.000000 9.43074E-06 2.64061E-06
 co  27   2.705477 -2.164523  0.022342 2.24007E-08 6.27220E-09
 ni  28   4.017524 -2.182476  0.004389 4.57654E-07 1.28143E-07
 cu  29   2.140560 -2.109440  0.077425 6.57772E-09 1.84176E-09
 zn  30   2.478239 -2.151761  0.035104 1.47334E-08 4.12536E-09
 ga  31   1.082275 -1.997725  0.189141 6.31072E-10 1.76700E-10
 ge  32   1.563352 -2.016648  0.170217 1.99046E-09 5.57329E-10
 as  33   0.252616 -2.047384  0.139481 1.00381E-10 2.81067E-11
 se  34   1.439157 -1.900842  0.286023 1.62552E-09 4.55144E-10
 br  35   0.631740 -1.908260  0.278605 2.56292E-10 7.17617E-11
 kr  36   2.071844 -1.178156  1.008709 7.40465E-09 2.07330E-09
 rb  37   1.266039 -1.253961  0.932904 1.18105E-09 3.30695E-10
 sr  38   1.705895 -1.174105  1.012761 3.33369E-09 9.33434E-10
  y  39   1.180976 -1.029024  1.157841 1.01003E-09 2.82808E-10
 zr  40   1.687691 -0.842309  1.344556 3.32833E-09 9.31932E-10
 nb  41   0.457280 -0.952720  1.234146 1.99412E-10 5.58353E-11
 mo  42   0.916600 -1.023400  1.163465 5.92962E-10 1.66029E-10
 ru  44   0.630101 -1.129899  1.056967 3.22961E-10 9.04291E-11
 rh  45  -0.428088 -1.488088  0.698777 2.87594E-11 8.05262E-12
 pd  46   0.554782 -1.095218  1.091647 2.85912E-10 8.00553E-11
 ag  47  -0.222084 -1.422084  0.764781 4.84435E-11 1.35642E-11
 cd  48   0.685551 -1.024449  1.162416 4.08118E-10 1.14273E-10
 in  49  -0.442580 -1.202580  0.984285 3.10353E-11 8.68989E-12
 sn  50   1.173428 -0.896572  1.290293 1.32538E-09 3.71107E-10
 sb  51  -0.284872 -1.294872  0.891993 4.73216E-11 1.32501E-11
 te  52   0.838251 -1.341749  0.845116 6.58460E-10 1.84369E-10
  i  53  -0.183474 -1.733474  0.453392 6.22915E-11 1.74416E-11
 xe  54   1.071939 -1.168061  1.018804 1.16040E-09 3.24911E-10
 cs  55  -0.179416 -1.259416  0.927450 6.58496E-11 1.84379E-11
 ba  56   1.911726 -0.268274  1.918591 8.39284E-09 2.34999E-09
 la  57   0.895375 -0.274625  1.912241 8.17567E-10 2.28919E-10
 ce  58   1.394036 -0.185964  2.000902 2.59987E-09 7.27962E-10
 pr  59   0.328786 -0.431214  1.755651 2.24982E-10 6.29950E-11
 nd  60   1.111304 -0.338696  1.848170 1.39578E-09 3.90819E-10
 sm  62   0.353946 -0.586054  1.600811 2.54393E-10 7.12299E-11
 eu  63  -0.719493 -1.229493  0.957372 2.17108E-11 6.07901E-12
 gd  64   0.171517 -0.878483  1.308383 1.74797E-10 4.89432E-11
 tb  65  -0.784776 -1.104776  1.082090 1.95363E-11 5.47018E-12
 dy  66   0.325178 -0.804822  1.382043 2.57311E-10 7.20471E-11
 ho  67  -0.709214 -1.179214  1.007651 2.41275E-11 6.75570E-12
 er  68   0.127862 -0.792138  1.394727 1.68143E-10 4.70800E-11
 tm  69  -0.799049 -0.919049  1.267816 2.00953E-11 5.62668E-12
 yb  70   0.472678 -0.447322  1.739543 3.84815E-10 1.07748E-10
 lu  71  -0.461544 -0.551544  1.635321 4.52730E-11 1.26764E-11
 hf  72   0.419788 -0.290212  1.896654 3.51422E-10 9.83982E-11
 ta  73  -0.548352 -0.428352  1.758513 3.83379E-11 1.07346E-11
  w  74   0.388926 -0.261074  1.925791 3.37126E-10 9.43953E-11
 re  75  -0.560238 -0.820238  1.366627 3.83871E-11 1.07484E-11
 os  76   0.321274 -1.028726  1.158139 2.98524E-10 8.35868E-11
 ir  77  -0.322178 -1.642178  0.544687 6.85553E-11 1.91955E-11
 pt  78   0.397079 -1.222921  0.963944 3.64513E-10 1.02064E-10
 au  79  -0.395832 -1.195832  0.991033 5.92910E-11 1.66015E-11
 hg  80   0.881634 -0.288366  1.898499 1.14385E-09 3.20279E-10
 tl  81   0.678133 -0.091867  2.094998 7.29466E-10 2.04250E-10
 pb  82   2.022189 -0.017811  2.169055 1.63308E-08 4.57261E-09
 bi  83   0.468258 -0.181742  2.005123 4.60034E-10 1.28809E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.4117   1.1717   1.9439   0.7722   0.2251
# Initial mass = 1.000, Z =  0.0001, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.720, Mass expelled =   0.2800
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 7.54931E-01 2.11381E-01
 he   2  10.921196 -0.008804  2.178131 2.50051E-01 7.00142E-02
  c   6   8.016135 -0.453865  1.733070 9.33600E-04 2.61408E-04
  n   7   6.311104 -1.558896  0.628039 2.14731E-05 6.01248E-06
  o   8   6.887221 -1.842778  0.344157 9.24189E-05 2.58773E-05
  f   9   3.625968 -0.794032  1.392903 6.01343E-08 1.68376E-08
 ne  10   6.365525 -1.604475  0.582460 3.50665E-05 9.81863E-06
 na  11   4.552209 -1.687790  0.499145 6.14038E-07 1.71931E-07
 mg  12   5.471194 -2.168806  0.018129 5.38687E-06 1.50832E-06
 al  13   4.279178 -2.170822  0.016113 3.84325E-07 1.07611E-07
 si  14   5.367980 -2.182021  0.004914 4.90813E-06 1.37428E-06
  p  15   3.358275 -2.051724  0.135211 5.29321E-08 1.48210E-08
