  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   fe58     58   5.9661143E-06  2.2854627E-05  1.6888513E-05  1.0987802E-05  8.1198668E-06  1.3136190E-01
   fe59     59   4.0743327E-20  4.0743327E-20  0.0000000E+00  1.9588139E-20  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.7803422E-06  1.4805717E-05  1.3025375E-05  7.1181335E-06  6.2625008E-06  5.5618320E-02
   co60     60   2.1369681E-14  2.1369681E-14  0.0000000E+00  1.0273885E-14  0.0000000E+00  0.0000000E+00
   ni58     58  -1.9253202E-06  1.8443982E-04  1.8636514E-04  8.8672998E-05  8.9602931E-05 -4.5308173E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   9.4725692E-07  7.5207834E-05  7.4260577E-05  3.6157613E-05  3.5703917E-05  5.4839123E-03
   ni61     61   6.8916142E-07  3.9710153E-06  3.2818539E-06  1.9091422E-06  1.5778902E-06  8.2761504E-02
   ni62     62   9.4024563E-07  1.1575783E-05  1.0635537E-05  5.5652804E-06  5.1134848E-06  3.6770079E-02
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   3.3353742E-06  6.1312467E-06  2.7958724E-06  2.9477148E-06  1.3442341E-06  3.4101054E-01
   cu63     63   3.8767143E-07  2.6953439E-06  2.3076725E-06  1.2958385E-06  1.1095112E-06  6.7419164E-02
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   8.1875623E-07  1.8799954E-06  1.0612391E-06  9.0384395E-07  5.1023562E-07  2.4832270E-01
   zn64     64   2.0018024E-07  4.1538842E-06  3.9537040E-06  1.9970598E-06  1.9009107E-06  2.1429386E-02
   zn65     65   5.0787918E-18  5.0787918E-18  0.0000000E+00  2.4417269E-18  0.0000000E+00  0.0000000E+00
   zn66     66   8.9092055E-07  3.2301818E-06  2.3392613E-06  1.5529721E-06  1.1246990E-06  1.4012733E-01
   zn67     67   1.9811168E-07  5.4707289E-07  3.4896121E-07  2.6301581E-07  1.6777788E-07  1.9524714E-01
   zn68     68   1.1598213E-06  2.7795131E-06  1.6196918E-06  1.3363044E-06  7.7873545E-07  2.3451546E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   5.4174265E-09  6.0551208E-08  5.5133782E-08  2.9111160E-08  2.6507900E-08  4.0684208E-02
   ga69     69   2.1261569E-07  3.6111186E-07  1.4849617E-07  1.7361148E-07  7.1395824E-08  3.8590565E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   2.4221643E-07  3.4362330E-07  1.0140688E-07  1.6520352E-07  4.8755648E-08  5.2999437E-01
   ge70     70   3.8892503E-07  5.5408452E-07  1.6515949E-07  2.6638679E-07  7.9407421E-08  5.2565157E-01
   ge71     71   6.9374553E-25  6.9374553E-25  0.0000000E+00  3.3353152E-25  0.0000000E+00  0.0000000E+00
   ge72     72   4.2966937E-07  6.5417072E-07  2.2450135E-07  3.1450517E-07  1.0793853E-07  4.6445128E-01
   ge73     73   1.2102626E-07  1.8491498E-07  6.3888720E-08  8.8901437E-08  3.0717207E-08  4.6152705E-01
   ge74     74   5.6943941E-07  8.7339805E-07  3.0395864E-07  4.1990293E-07  1.4614099E-07  4.5837688E-01
   as75     75   5.1906085E-08  9.6469925E-08  4.4563841E-08  4.6379775E-08  2.1425953E-08  3.3538848E-01
   se76     76   2.0064540E-07  2.4704042E-07  4.6395012E-08  1.1876944E-07  2.2306367E-08  7.2627586E-01
   se77     77   8.1291759E-08  1.1956925E-07  3.8277488E-08  5.7485220E-08  1.8403522E-08  4.9465525E-01
   se78     78   5.3447627E-07  6.5527104E-07  1.2079479E-07  3.1503416E-07  5.8077209E-08  7.3435193E-01
   se79     79   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   se80     80   6.9225661E-07  9.5082720E-07  2.5857059E-07  4.5712846E-07  1.2431876E-07  5.6550163E-01
   br79     79   1.1405308E-07  1.5540314E-07  4.1350063E-08  7.4713050E-08  1.9880794E-08  5.7496274E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   9.4865840E-08  1.3610790E-07  4.1242064E-08  6.5436495E-08  1.9828869E-08  5.1852208E-01
   kr80     80   5.8496052E-09  1.5703895E-08  9.8542898E-09  7.5499500E-09  4.7378670E-09  2.0236121E-01
   kr81     81   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr82     82   4.3935000E-07  4.8996247E-07  5.0612460E-08  2.3555889E-07  2.4334081E-08  9.8588455E-01
   kr83     83   1.3197470E-07  1.8272414E-07  5.0749428E-08  8.7848143E-08  2.4399938E-08  5.5634385E-01
   kr84     84   8.9127332E-07  1.1443974E-06  2.5312411E-07  5.5019109E-07  1.2170013E-07  6.5522254E-01
